编号,标题,链接,地点,面积,朝向,布局,楼层
1,整租·金虹苑小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2336682152211005440.html,长宁-西郊-金虹苑小区,40㎡,南,1室1厅1卫,高楼层（6层）
2,整租·王满小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2336889962785677312.html,长宁-西郊-王满小区,37㎡,南,1室1厅1卫,中楼层（5层）
3,整租·东湾小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2335453251145056256.html,徐汇-华泾-东湾小区,41㎡,南,1室1厅1卫,中楼层（6层）
4,整租·瑞福小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2334137048610643968.html,黄浦-豫园-瑞福小区,47㎡,南,1室1厅1卫,中楼层（23层）
5,整租·光华园 1室1厅 南/北,https://sh.lianjia.com/zufang/SH2331094039568588800.html,徐汇-上海南站-光华园,52㎡,南北,1室1厅1卫,低楼层（6层）
6,整租·长桥一村 1室0厅 东南,https://sh.lianjia.com/zufang/SH2314210525871357952.html,徐汇-长桥-长桥一村,42㎡,东南,1室0厅1卫,高楼层（6层）
7,整租·华建一街坊 2室1厅 南,https://sh.lianjia.com/zufang/SH2306213071539929088.html,徐汇-华泾-华建一街坊,56㎡,南,2室1厅1卫,高楼层（6层）
8,整租·宛平南路268弄 1室0厅 南,https://sh.lianjia.com/zufang/SH2326835280406904832.html,徐汇-徐家汇-宛平南路268弄,23㎡,南,1室0厅1卫,中楼层（7层）
9,整租·上中路458弄 1室1厅 南,https://sh.lianjia.com/zufang/SH2326134040845369344.html,徐汇-植物园-上中路458弄,38㎡,南,1室1厅1卫,高楼层（6层）
10,整租·中山南一路1040-1044号 1室0厅 南,https://sh.lianjia.com/zufang/SH2331849459061243904.html,黄浦-世博滨江-中山南一路1040-1044号,30㎡,南,1室0厅1卫,高楼层（6层）
11,整租·田林十二村 1室1厅 南,https://sh.lianjia.com/zufang/SH2298569163675287552.html,徐汇-田林-田林十二村,30㎡,南,1室1厅1卫,中楼层（6层）
12,整租·长桥一村 1室0厅 南,https://sh.lianjia.com/zufang/SH2329487103995412480.html,徐汇-长桥-长桥一村,29㎡,南,1室0厅1卫,中楼层（5层）
13,整租·梅陇九村 1室1厅 南,https://sh.lianjia.com/zufang/SH2325828415392841728.html,徐汇-华东理工-梅陇九村,45㎡,南,1室1厅1卫,高楼层（6层）
14,整租·钦州花苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2298568405286404096.html,徐汇-田林-钦州花苑,55㎡,南,1室1厅1卫,低楼层（30层）
15,整租·光华园 2室1厅 南,https://sh.lianjia.com/zufang/SH2335574433622147072.html,徐汇-上海南站-光华园,61㎡,南,2室1厅1卫,高楼层（6层）
16,整租·康乐小区(徐汇) 2室1厅 南,https://sh.lianjia.com/zufang/SH2335958653024346112.html,徐汇-康健-康乐小区(徐汇),55㎡,南,2室1厅1卫,低楼层（6层）
17,整租·杜鹃园 1室1厅 南,https://sh.lianjia.com/zufang/SH2338491530580598784.html,徐汇-康健-杜鹃园,43㎡,南,1室1厅1卫,低楼层（6层）
18,整租·长虹公寓 1室1厅 南,https://sh.lianjia.com/zufang/SH2335540145312776192.html,长宁-仙霞-长虹公寓,48㎡,南,1室1厅1卫,中楼层（6层）
19,整租·古宋小区 2室2厅 南,https://sh.lianjia.com/zufang/SH2336701424282910720.html,长宁-仙霞-古宋小区,79㎡,南,2室2厅1卫,低楼层（6层）
20,整租·乐山四五村 1室1厅 南,https://sh.lianjia.com/zufang/SH2336231094821076992.html,徐汇-徐家汇-乐山四五村,35㎡,南,1室1厅1卫,低楼层（6层）
21,整租·城东新村（三区） 2室1厅 南,https://sh.lianjia.com/zufang/SH2334521835326554112.html,青浦-夏阳-城东新村（三区）,49㎡,南,2室1厅1卫,高楼层（6层）
22,整租·盈中新村 3室1厅 南,https://sh.lianjia.com/zufang/SH2334804078279786496.html,青浦-盈浦-盈中新村,61㎡,南,3室1厅1卫,高楼层（6层）
23,整租·田林新苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2298567780074520576.html,徐汇-田林-田林新苑,42㎡,南,1室1厅1卫,高楼层（18层）
24,整租·马当小区 2室1厅 南,https://sh.lianjia.com/zufang/SH2334664704963911680.html,黄浦-新天地-马当小区,84㎡,南,2室1厅1卫,中楼层（27层）
25,整租·景港名人苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2333284963925106688.html,青浦-盈浦-景港名人苑,68㎡,南,2室1厅1卫,低楼层（6层）
26,整租·园南三村 2室1厅 南,https://sh.lianjia.com/zufang/SH2337680424354463744.html,徐汇-植物园-园南三村,61㎡,南,2室1厅1卫,中楼层（6层）
27,整租·长虹小区 2室0厅 南/北,https://sh.lianjia.com/zufang/SH2334551392142245888.html,长宁-新华路-长虹小区,47㎡,南北,2室0厅1卫,高楼层（6层）
28,整租·长桥三村 2室1厅 南,https://sh.lianjia.com/zufang/SH2307750683245551616.html,徐汇-长桥-长桥三村,58㎡,南,2室1厅1卫,中楼层（6层）
29,整租·南丹小区 1室1厅 东南/南,https://sh.lianjia.com/zufang/SH2298455869585113088.html,徐汇-徐家汇-南丹小区,37㎡,东南南,1室1厅1卫,低楼层（7层）
30,整租·淡水路442弄 2室1厅 南,https://sh.lianjia.com/zufang/SH2310669801573318656.html,黄浦-新天地-淡水路442弄,46㎡,南,2室1厅1卫,中楼层（6层）
31,整租·绿地时代名邸 2室2厅 南,https://sh.lianjia.com/zufang/SH2330987068676636672.html,青浦-白鹤-绿地时代名邸,84㎡,南,2室2厅1卫,低楼层（28层）
32,整租·丰裕里 2室1厅 南,https://sh.lianjia.com/zufang/SH2309431012997996544.html,黄浦-新天地-丰裕里,60㎡,南,2室1厅1卫,中楼层（3层）
33,整租·汇成五村 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2308484721056677888.html,徐汇-上海南站-汇成五村,59㎡,南北,2室1厅1卫,高楼层（6层）
