电影名称,评分,上映时间,导演,链接信息
肖申克的救赎,9.7,1994,弗兰克·德拉邦特,https://movie.douban.com/subject/1292052/
霸王别姬,9.6,1993,陈凯歌,https://movie.douban.com/subject/1291546/
阿甘正传,9.5,1994,罗伯特·泽米吉斯,https://movie.douban.com/subject/1292720/
这个杀手不太冷,9.4,1994,吕克·贝松,https://movie.douban.com/subject/1295644/
美丽人生,9.5,1997,罗伯托·贝尼尼,https://movie.douban.com/subject/1292063/
泰坦尼克号,9.4,1997,詹姆斯·卡梅隆,https://movie.douban.com/subject/1292722/
千与千寻,9.3,2001,宫崎骏,https://movie.douban.com/subject/1291561/
辛德勒的名单,9.5,1993,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1295124/
盗梦空间,9.3,2010,克里斯托弗·诺兰,https://movie.douban.com/subject/3541415/
忠犬八公的故事,9.3,2009,拉斯·霍尔斯道姆,https://movie.douban.com/subject/3011091/
机器人总动员,9.3,2008,安德鲁·斯坦顿,https://movie.douban.com/subject/2131459/
三傻大闹宝莱坞,9.2,2009,拉吉库马尔·希拉尼,https://movie.douban.com/subject/3793023/
放牛班的春天,9.3,2004,克里斯托夫·巴拉蒂,https://movie.douban.com/subject/1291549/
海上钢琴师,9.2,1998,朱塞佩·托纳多雷,https://movie.douban.com/subject/1292001/
楚门的世界,9.2,1998,彼得·威尔,https://movie.douban.com/subject/1292064/
星际穿越,9.3,2014,克里斯托弗·诺兰,https://movie.douban.com/subject/1889243/
大话西游之大圣娶亲,9.2,1995,刘镇伟,https://movie.douban.com/subject/1292213/
龙猫,9.2,1988,宫崎骏,https://movie.douban.com/subject/1291560/
熔炉,9.3,2011,黄东赫,https://movie.douban.com/subject/5912992/
教父,9.3,1972,弗朗西斯·福特·科波拉,https://movie.douban.com/subject/1291841/
无间道,9.2,2002,刘伟强,https://movie.douban.com/subject/1307914/
疯狂动物城,9.2,2016,拜伦·霍华德,https://movie.douban.com/subject/25662329/
当幸福来敲门,9.1,2006,加布里埃莱·穆奇诺,https://movie.douban.com/subject/1849031/
怦然心动,9.0,2010,罗伯·莱纳,https://movie.douban.com/subject/3319755/
触不可及,9.2,2011,奥利维埃·纳卡什,https://movie.douban.com/subject/6786002/
蝙蝠侠：黑暗骑士,9.1,2008,克里斯托弗·诺兰,https://movie.douban.com/subject/1851857/
乱世佳人,9.3,1939,维克多·弗莱明,https://movie.douban.com/subject/1300267/
活着,9.2,1994,张艺谋,https://movie.douban.com/subject/1292365/
控方证人,9.6,1957,比利·怀德,https://movie.douban.com/subject/1296141/
少年派的奇幻漂流,9.0,2012,李安,https://movie.douban.com/subject/1929463/
摔跤吧！爸爸,9.0,2016,涅提·蒂瓦里,https://movie.douban.com/subject/26387939/
指环王3：王者无敌,9.2,2003,彼得·杰克逊,https://movie.douban.com/subject/1291552/
天空之城,9.1,1986,宫崎骏,https://movie.douban.com/subject/1291583/
鬼子来了,9.2,2000,姜文,https://movie.douban.com/subject/1291858/
十二怒汉,9.4,1957,西德尼·吕美特,https://movie.douban.com/subject/1293182/
天堂电影院,9.2,1988,朱塞佩·托纳多雷,https://movie.douban.com/subject/1291828/
飞屋环游记,9.0,2009,彼特·道格特,https://movie.douban.com/subject/2129039/
大话西游之月光宝盒,9.0,1995,刘镇伟,https://movie.douban.com/subject/1299398/
哈尔的移动城堡,9.0,2004,宫崎骏,https://movie.douban.com/subject/1308807/
罗马假日,9.0,1953,威廉·惠勒,https://movie.douban.com/subject/1293839/
搏击俱乐部,9.0,1999,大卫·芬奇,https://movie.douban.com/subject/1292000/
末代皇帝,9.2,1987,贝纳尔多·贝托鲁奇,https://movie.douban.com/subject/1293172/
寻梦环游记,9.0,2017,李·昂克里奇,https://movie.douban.com/subject/20495023/
闻香识女人,9.0,1992,马丁·布莱斯特,https://movie.douban.com/subject/1298624/
辩护人,9.2,2013,杨宇硕,https://movie.douban.com/subject/21937445/
素媛,9.2,2013,李濬益,https://movie.douban.com/subject/21937452/
窃听风暴,9.1,2006,弗洛里安·亨克尔·冯·多纳斯马尔克,https://movie.douban.com/subject/1900841/
死亡诗社,9.0,1989,彼得·威尔,https://movie.douban.com/subject/1291548/
两杆大烟枪,9.1,1998,盖·里奇,https://movie.douban.com/subject/1293350/
飞越疯人院,9.1,1975,米洛斯·福尔曼,https://movie.douban.com/subject/1292224/
